[03:14:59] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:15:00] [ServerMain/INFO]: Loaded 7 recipes
[03:15:00] [ServerMain/INFO]: Loaded 1271 advancements
[03:15:01] [Server thread/INFO]: Starting minecraft server version 1.20
[03:15:01] [Server thread/INFO]: Loading properties
[03:15:01] [Server thread/INFO]: Default game type: SURVIVAL
[03:15:01] [Server thread/INFO]: Generating keypair
[03:15:01] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:15:01] [Server thread/INFO]: Using epoll channel type
[03:15:01] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:15:01] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:15:01] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:15:01] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:15:01] [Server thread/INFO]: Preparing level "world"
[03:15:06] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:15:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[03:15:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[03:15:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[03:15:08] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[03:15:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[03:15:09] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[03:15:09] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[03:15:10] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[03:15:10] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[03:15:11] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[03:15:11] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[03:15:12] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[03:15:12] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[03:15:13] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[03:15:13] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[03:15:14] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[03:15:14] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[03:15:15] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[03:15:15] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[03:15:16] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[03:15:16] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[03:15:17] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[03:15:17] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[03:15:18] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[03:15:18] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[03:15:19] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[03:15:19] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[03:15:20] [Worker-Main-1/INFO]: Preparing spawn area: 41%
[03:15:20] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[03:15:21] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[03:15:21] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[03:15:22] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[03:15:22] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[03:15:23] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[03:15:23] [Worker-Main-1/INFO]: Preparing spawn area: 60%
[03:15:24] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[03:15:24] [Worker-Main-1/INFO]: Preparing spawn area: 67%
[03:15:25] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[03:15:25] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[03:15:26] [Worker-Main-3/INFO]: Preparing spawn area: 76%
[03:15:26] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[03:15:27] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[03:15:27] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[03:15:28] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[03:15:28] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[03:15:29] [Worker-Main-3/INFO]: Preparing spawn area: 96%
[03:15:29] [Server thread/INFO]: Time elapsed: 22852 ms
[03:15:29] [Server thread/INFO]: Done (28.458s)! For help, type "help"
